"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"137" -11.1938914194706 -8.71260386813148 -15.1151133073252 -11.1516906609316 -6.50687281643338 -14.3561994890486 -16.1360832813138 -11.8344738199143 -12.9560471283362 -10.3801577332634 -12.5948544350376 -6.35093614276754 -11.8986002313029 -12.8258260456951 -7.65634928141932 -10.8672112525116 -9.90535301601336 -10.1617641436804 -4.87358967249998 -13.9672029149659 -15.3648651138692 -8.06129668180427 -9.89795867613641 -13.6346879596984 -10.396084587917 -6.85839646395998 -6.40525601134336 -12.1844320265637 -12.461865160745 -7.88567080061471
"138" -11.3244686101223 -8.94519635570201 -14.9610697074973 -10.876164859379 -6.49979825426525 -14.0977954192727 -15.8876889767649 -11.9764260821911 -13.1220969591475 -10.4940295084398 -12.5660868887428 -6.41160056813985 -12.0896056233169 -12.9986432515925 -7.59211167640059 -11.026836178271 -10.1264575798202 -9.73480848378199 -4.95761922043398 -14.2115584545064 -15.1765857291676 -7.83693492624691 -9.74476616085986 -13.8736369438302 -10.52336420184 -6.83361814718064 -6.56268785660119 -12.2872472345009 -12.3690676014617 -8.03661426441313
"139" -11.2011603563222 -8.92806611125789 -14.962960904744 -10.703475221024 -6.46298456352556 -14.0976799435939 -15.889853511173 -11.9302827722911 -13.115731833332 -10.4888979886521 -12.56060494248 -6.2000465790419 -12.0308475201622 -12.9916417930515 -7.55991812926782 -10.9391250292363 -10.0932318410085 -9.72926458229746 -4.88669073618289 -14.1624797111794 -15.1757194819768 -7.83771068641277 -9.73539386434499 -13.8652052852073 -10.5129706794999 -6.83205852862154 -6.54610245070673 -12.2854662926353 -12.2659451470209 -8.03749470660882
"140" -10.6808888980064 -8.40214746327919 -15.1176112008245 -10.3335209220695 -6.43109835366396 -14.2538567486607 -15.4990462395865 -12.3587062499381 -12.4885042273019 -10.2788176140245 -12.4772998038017 -6.1373100235163 -12.1446804356054 -13.0998627477672 -7.60975338451373 -11.5917619038446 -10.3412425160056 -9.40264346183655 -4.9200865890294 -14.2806826717871 -15.5209533247465 -8.09623010816711 -10.1544521717888 -13.7495159258241 -10.1716726654656 -6.7210599920432 -6.46177691975189 -12.4675897720145 -12.9206546066481 -8.09431783278933
"141" -10.7192273194289 -8.43680655207777 -15.3491924617007 -10.26812838916 -6.55160145522007 -14.5791250970033 -15.8134796421163 -12.0117391849185 -12.3044844980232 -10.4827262794224 -11.7417904347822 -6.31887515456491 -12.4255499355472 -12.4484087735774 -7.68727120208852 -11.6468201130645 -9.69067105577421 -8.90233276933112 -4.85726856604674 -14.4155780791403 -14.9368303951009 -8.19921683086862 -10.3133041960791 -13.6157361305195 -10.2960323961891 -7.00845266484844 -6.70327917667366 -12.4209352286151 -13.1645168387887 -8.15089636008408
"142" -10.9433346004217 -7.60873543303637 -15.7920153997809 -10.2765219132231 -6.86176901028213 -15.4420181460609 -14.4462753206757 -12.7453194407621 -13.1556585886219 -10.0113854929925 -11.737330516445 -6.05504108466313 -12.4763111568522 -12.5977592621195 -7.81386623594502 -12.3690767283616 -9.84752407711904 -8.72335076102286 -4.83746403083032 -14.763142705358 -15.4083084215157 -8.02039319878911 -10.4778882191849 -13.5464944299193 -10.6520532116335 -7.31884341128346 -6.07400326554928 -13.126720501089 -12.9731933178039 -8.36005820375527
"143" -11.0363395972782 -7.82459364263473 -14.5816358497456 -10.4076335089076 -6.67045965892918 -15.4603978656325 -14.2424606985419 -12.828707959316 -13.4189243176565 -9.93326847253664 -11.7233920508242 -5.84958240524827 -11.880318334143 -12.3870593931532 -8.06508503146242 -12.5265286151937 -9.99978174810636 -8.87650237204574 -4.75047818019887 -14.4576067599013 -15.2040702491915 -8.20670720890324 -10.3294019362039 -13.1002921861461 -10.6992605313321 -6.83701941449344 -6.17275517410658 -13.1370702489762 -13.2108687451768 -8.28343126099225
"144" -11.0242238604782 -7.70557492109798 -14.5870995543085 -10.3675222590268 -6.56822284980978 -15.323801095589 -14.2041384152973 -12.8339707693991 -13.424589562134 -9.83852149629863 -11.6457844397553 -5.79581232308055 -11.7770366233761 -12.3862502880058 -8.06791740027968 -12.5306032319403 -9.951948570964 -8.88129064649954 -4.75792213196049 -14.3204310166077 -15.1626157800262 -8.18487074318359 -10.3335432436107 -13.0797720461681 -10.666291658387 -6.83805190601625 -6.17684546201733 -13.1461045718876 -13.1504032426963 -8.29131359357895
"145" -11.0025699195695 -7.4119727355374 -14.7786050260508 -10.2769970630018 -6.36745415673197 -15.5543118336878 -13.9927533686537 -12.4666116969579 -13.5119887739338 -9.78464208052214 -11.7142854919363 -5.31674922778052 -11.3135767806674 -12.5090068955029 -8.27786636241563 -12.6537828956806 -10.0816627827527 -8.74759261686324 -4.53149871623562 -14.2662611639385 -15.3846210010344 -7.93184967739762 -10.4170650274422 -12.8016199046975 -10.3548405370781 -6.85128344259087 -6.07094865652251 -13.0935646022125 -13.3675291823772 -8.22115114144899
"146" -11.2774582576384 -6.94379136219565 -14.9043024713139 -10.6663560259863 -6.51285653363491 -14.1706395247 -14.0762203599063 -12.5035130956378 -13.3419299214924 -10.482361097255 -11.3449832515984 -5.24805479960944 -11.626598843384 -13.3897182139947 -8.47259579565878 -13.1319774016281 -10.191482342207 -8.79025737660761 -4.68168218919229 -14.4342589692041 -14.9485505823274 -8.40208245349114 -10.7684659696873 -13.1146351578205 -9.64731282789071 -6.49537594964251 -4.97308278338313 -13.7371466625188 -13.8498946888413 -7.92008585838211
"147" -11.0512548917073 -6.96537573976101 -15.0502372514719 -10.8351108197139 -6.50970574022203 -14.2154209088875 -13.7974179147386 -12.5460532167642 -13.3302996215501 -10.5496548933525 -11.3813631209705 -5.16795343207683 -11.7285147055936 -13.5896121271992 -8.56284956220115 -13.3168257916392 -10.4000199000041 -8.89847763333209 -4.7162266648104 -14.0680798177658 -14.9779455173682 -8.37153882763213 -10.8990531924035 -13.2077230814072 -9.51134918537797 -6.41472822260527 -5.02125628598813 -13.896631906988 -14.0716134340601 -8.11677491353999
"148" -11.0584186462607 -6.89370971903207 -15.0637524827897 -10.8091821205334 -6.46802781506552 -14.1398754980504 -13.6950333625181 -12.5149107616393 -13.3102873714552 -10.1910032435541 -11.3135811262948 -5.16700947496795 -11.7253603433497 -13.5902683003292 -8.55421446602358 -13.3287571057546 -10.248740253551 -8.86112624593938 -4.68818051625377 -13.9266015327299 -14.9375447992766 -8.37262575292221 -10.8015187280405 -13.2063559740996 -9.48712221733876 -6.42887643030727 -4.94159836030763 -13.873685871177 -14.0520417186274 -8.11395446135015
"149" -10.9475528219846 -6.78493536712557 -15.1493100503453 -10.9195685886688 -6.43730516680865 -14.1989773680683 -13.8082767910653 -12.4345157307608 -13.2301860897035 -10.1973816601669 -11.3641151098882 -5.23383506755695 -11.8136785441873 -13.4667412795707 -8.1506873823032 -13.2392399612488 -10.3576469452351 -8.84443977475762 -4.71391592740487 -14.0141252106871 -15.0483855123126 -8.453522029947 -10.8631970594 -13.1420564388613 -9.34076305902636 -6.09994783290722 -4.99372758019738 -13.886582795803 -14.1061716358638 -8.13692771758823
"150" -10.8486125283683 -6.69910939453107 -15.1505816980128 -10.8898984403901 -6.37479045699278 -14.1762619488752 -13.7015517144478 -12.4209988013463 -13.2292039632705 -10.1440394465655 -11.3170172848625 -5.15082386590595 -11.7191153725685 -13.3939556418535 -7.98659318848529 -13.1931304803566 -10.3575729612239 -8.82391169066643 -4.71542117525814 -14.011762294812 -14.998378087194 -8.43988576392012 -10.8009119307133 -13.1429038230365 -9.34260240105777 -6.08922585634541 -4.99053047083953 -13.8868479159313 -14.1079828070854 -8.13875008996032
"151" -10.8921324674275 -6.85647206203257 -15.1666112401951 -10.8519705846828 -6.42214695549044 -14.2955807150599 -13.7251457625083 -11.9493080982454 -13.1697074256708 -10.3107657043148 -11.3351639503815 -5.28325362379654 -11.8916018938563 -13.4036517415634 -7.82972758696017 -12.8526546489986 -10.3080434615408 -8.85480503488107 -4.73780909529853 -14.0161906002234 -14.7180841563575 -8.53472960625807 -10.5287200960865 -13.2029069437319 -9.51130577041048 -6.10338002683861 -4.66897046336874 -14.0292644347156 -14.106068395706 -8.14024542603839
"152" -10.8632244185653 -6.45937778129499 -15.3348958280414 -10.8180892047636 -6.47711299671947 -14.3797762826474 -13.8184708853034 -11.5931810076655 -13.2716538622446 -10.0494290078915 -11.3535434866475 -5.43437890002283 -11.7871937717399 -13.4715763856788 -7.83380908169256 -12.986758432719 -10.4259685407326 -8.99170959555826 -4.83715743778097 -14.177242471552 -14.8858790691454 -8.57648840028347 -10.4851969591082 -13.2008398112639 -9.50574532098443 -5.74788749956969 -4.78918609948071 -13.9732800558906 -13.9743568797714 -8.08285323777946
"153" -10.8213691593976 -5.91751154609121 -15.2807653239113 -10.9137777126397 -6.3171241819213 -14.0450976305243 -13.7683723764947 -11.6344428128186 -13.2052545438664 -9.87583485372812 -11.2277252280724 -5.36567590525086 -11.8492909670582 -13.4891033753471 -7.93269065342821 -12.9955052457566 -10.1508191322112 -9.01268967425972 -4.82311756099454 -14.2938704900116 -14.7544270395596 -8.63189869830965 -10.4994274755329 -13.0342323363456 -9.4840004916372 -5.41484771427907 -4.80609641872591 -14.0502926893636 -14.0153850093006 -8.0815660492211
"154" -10.9301416170511 -6.02548436963624 -15.4162631362885 -10.7156237172443 -6.46180498808402 -14.0131286369859 -13.6601304492985 -11.648473993842 -12.7820727870981 -9.75835696032472 -11.2121116388185 -5.4573556874925 -12.0098471192814 -13.5804748295412 -7.80192298428088 -12.68451285674 -10.1868151914133 -8.9397384552043 -4.43427885069587 -14.395237586605 -14.750642581843 -8.47561255056486 -10.55127805638 -13.1281688928796 -9.60918956426418 -5.53038016271226 -4.73072754144381 -13.7604410262678 -14.1553869141696 -7.864624448305
"155" -11.0264469201373 -7.30951583614567 -15.6284715886938 -13.7400936343428 -9.41124770311883 -15.0525632109973 -15.9832530549471 -13.0081324424674 -17.0096463947888 -12.1151049123315 -13.1479056685153 -6.75670678599078 -12.1706497604438 -14.2016578668056 -10.4519847113031 -15.0828357428713 -11.3431902565183 -7.81602348735215 -6.98112234592587 -18.0786511335059 -14.9793682954961 -10.4347584573403 -12.1212278148047 -14.9540104850063 -9.29600971689995 -7.17227926209616 -3.83762099148262 -13.8791170352963 -14.1732160119269 -9.88493424112706
"156" -11.7180903115131 -7.60081725264332 -14.9992838966711 -14.3794046815352 -8.99992783776082 -14.3608956584913 -16.3497347386496 -13.9249091838304 -17.4426582462414 -12.8586746434217 -13.5806913936418 -6.93594099397685 -10.768795043668 -13.1642058337413 -11.1124832956899 -14.9609365782107 -11.971585545197 -7.81326640444671 -7.38370123408463 -17.9108697126025 -16.0687971986246 -10.2164352882576 -11.7976300484966 -14.8527475372581 -9.4632978029848 -7.02799394012976 -3.71046616145803 -14.9383965080564 -14.9372570629388 -10.1941163578464
"157" -11.6714609268839 -7.25589797853852 -14.5329367607802 -14.4319700459093 -9.61505568492564 -14.3270589499519 -15.8330784452539 -13.5164735029003 -17.1455719595638 -13.0884696668827 -13.8798013639104 -6.91314381715229 -10.9400373401545 -13.5313545627656 -10.58551689615 -15.1543395053009 -11.6860209094011 -7.44648963919703 -7.05340370182661 -18.3695413648556 -15.6661135141595 -9.18813957468716 -11.6542182705896 -14.929164533579 -9.82187255239877 -7.46887672639074 -3.7864022828012 -14.0656583894335 -15.133779967774 -9.85507654669346
"158" -11.8302927138677 -7.16269482647418 -13.9191474333262 -13.9529545603505 -9.19000302140764 -14.5973646072991 -15.5277335337848 -13.0168755132702 -17.0169260772693 -12.9537433629361 -13.8846924173245 -7.15902136835573 -11.092709938159 -13.452600562743 -10.2757290144937 -14.6347948903611 -11.8746231588703 -7.44269980557835 -7.01452900931074 -18.4808917408538 -15.6052021040276 -9.44508533795483 -11.7389007761561 -15.0861668760067 -9.85574545256944 -7.18826247802413 -3.89822828697517 -13.9508817218832 -15.3327318080238 -9.79359673231368
"159" -12.0405589260861 -7.13781523429413 -12.9535670897093 -14.0535287891579 -8.98632990076793 -14.8621587034171 -15.3024742369326 -13.0538076440158 -16.9102174254446 -13.0078744311497 -14.103172380735 -7.36249152248167 -10.9850170796521 -13.507519693672 -10.5616669904801 -14.9496167346323 -12.071338819588 -7.44886764833552 -7.2125237406673 -18.0898555836088 -15.4270409982042 -9.61474080343665 -11.1224062443636 -15.0201359069736 -10.0264875142151 -7.48291574830295 -3.3617657767214 -13.8277977311939 -15.6340372515317 -9.57809295944161
"160" -11.933316968877 -6.76114932090675 -12.9345214607281 -14.0444080963787 -8.7244170398715 -14.8180039563529 -15.1747444810146 -13.1019420109476 -17.0467985300981 -13.0951231478553 -13.7735508485757 -7.49008939267741 -10.8257647667384 -13.5981731003542 -9.13577984346523 -15.0706898198995 -12.1906212837573 -7.33460356514037 -7.33863724221082 -18.1365689893132 -14.8601407377273 -9.64903349983197 -11.2444615913918 -14.9257160005173 -10.1541340888351 -7.37218203181749 -3.42865014924016 -13.9471518744502 -15.7070552100729 -9.64806723531806
"161" -11.8798315785976 -6.75268420639297 -12.7984568389099 -13.9431554793535 -8.51312848061305 -14.3253271615861 -15.1540498191964 -12.9552815114993 -16.9949583507173 -12.7677941764803 -13.6380415410404 -7.31347018701314 -10.792038573612 -13.5547790947963 -8.61696802303662 -15.0446401472967 -12.1700198837699 -7.11871110268827 -7.13427278363472 -18.128350170262 -14.8541468171682 -9.51273214411512 -11.1419968042543 -14.9231775985282 -10.1438573561022 -7.27912256156169 -3.42378125283271 -13.6574429116308 -15.6900103783327 -9.46533682702513
"162" -11.8840135526386 -6.63154973570668 -12.7780727486345 -13.9528569364823 -8.52114834235882 -14.3079901404708 -15.1599840292058 -12.9463386783222 -16.9265707456224 -12.1712864275673 -13.5719614657595 -7.29389509517082 -10.6750748392808 -13.4988505925025 -8.61362250864612 -15.0194954465582 -11.8808707794285 -7.10582339151657 -7.08187265819131 -18.0749461395775 -14.8648980978822 -9.21966182653451 -11.1524103531847 -14.9314930880633 -10.1519748145542 -7.27991267506072 -3.43069393811932 -13.5992906812963 -15.58793464944 -9.31724716240714
"163" -11.9353964317765 -6.39730432535832 -12.7242371813526 -14.2622833729034 -8.53977701355348 -14.2759879729029 -15.1654034476824 -13.2284828895764 -15.9686151674737 -11.5362274365493 -13.0658133121899 -7.21213062287327 -10.559754756166 -13.5214175777262 -8.41286337893639 -15.1565966982657 -10.9446487253535 -7.17021036367231 -6.93882891650668 -18.045961284058 -14.954514676611 -9.28618872910219 -11.2911579156883 -14.6039290199136 -10.4320110605273 -7.11373084411822 -3.35136401619425 -13.176731724447 -15.0667715800409 -9.16975031958192
"164" -11.9654703365939 -6.4435707306109 -12.7228642651269 -14.284786855475 -8.5918801653605 -14.2362897354028 -15.1608111012228 -13.2323882734408 -16.0257566592881 -11.58981362168 -13.0445233512176 -7.0367359958037 -10.6139439053691 -13.5006371472572 -8.30576356855761 -15.1853409091819 -10.8176932503439 -7.22292009914534 -6.87573786145739 -18.098483088762 -14.9840240108178 -9.16518321933535 -11.1700642664898 -14.6190708819591 -10.1569084415397 -7.13913984765353 -3.38299344346462 -13.2199711485658 -15.059019695529 -9.20610648679157
"165" -11.848884382029 -6.50201780047981 -12.7230609476831 -14.5503427212513 -8.75185850611273 -13.6069144968763 -15.377258894204 -13.1278028769709 -15.6231027191045 -11.3561536743199 -12.5968380177102 -6.96000819709985 -10.7841464427701 -13.7432297879973 -8.16458442582 -14.9653799446979 -10.8766767677617 -7.47274037230763 -7.1337029660113 -18.0257711852003 -14.7379397779927 -8.39983939080344 -11.4293351112404 -14.4591756207155 -10.0308372889921 -7.37477422084374 -3.34757801510526 -12.8490011748112 -15.2736241846648 -9.32655647286249
"166" -11.7355534800015 -6.47861824199052 -12.7688954871305 -14.3905342572317 -8.45184494974416 -13.7384770862476 -15.5025352543738 -13.2111639611666 -15.1264382157836 -11.3636650742215 -12.2491130149362 -7.00015915922123 -10.7640699104385 -13.8632462157374 -8.16712211135617 -15.0485461600847 -11.0038528921696 -7.11344583866311 -7.2563815385289 -18.1080257010157 -14.8401258585916 -8.47565244617538 -11.2251169457222 -14.2829299368877 -9.97480751515343 -6.87803191964522 -3.21904633329855 -12.975805071849 -15.1060252105702 -9.14462644982268
"167" -11.7407992248943 -6.40623670420701 -12.76611326786 -14.3135210487537 -8.45604756105134 -13.6647301285295 -15.2776219782405 -12.8566508345349 -15.0972110204635 -11.1172098843014 -12.1762546622022 -6.82598879731853 -10.6911946685533 -13.3360001945194 -8.17253204326316 -15.037692015836 -10.9864389029663 -6.80654581677425 -7.24352494415856 -18.0858403905647 -14.8007657657932 -8.48116183443617 -11.2305813659445 -14.287361250548 -9.97289161550496 -6.77430028347965 -3.20348891752447 -12.94340855381 -15.1110303988437 -9.14457163477245
"168" -11.8786027802798 -6.54087063999338 -12.7477728545109 -14.4383428766957 -8.46008300809835 -13.7264265377816 -15.4185142341085 -13.0002555967117 -15.1237165076308 -11.2209890329623 -11.9664040839967 -6.92630739457467 -10.6787988556412 -13.2351027633977 -8.03083502684419 -15.1870616135593 -11.0479647814672 -6.85523389746534 -7.32490737105012 -18.0156676954063 -14.4143783344797 -8.62208111630562 -10.7009696567827 -14.179343587599 -9.85971224936271 -6.86945141122861 -3.33716608210821 -12.7685644485636 -15.1773549825997 -9.10531445335527
"169" -11.8556954010653 -6.55045212498904 -12.7110090131197 -14.4078453500679 -8.46227954532619 -13.5639339881266 -15.3743810827422 -13.0095178933905 -15.0663126740044 -11.225651342748 -11.8643859518033 -6.9369478759864 -10.6683104343753 -13.2425431620181 -7.84725269433861 -15.0780419267392 -10.9932315103588 -6.77440142903765 -6.77067193316743 -17.8385073804195 -14.3565564991222 -8.54646782029924 -10.7155905831336 -14.1512076500121 -9.82908648571206 -6.39586013164515 -3.28810127374963 -12.7766445361476 -14.6889253475402 -9.11076191039248
"170" -12.2683077068645 -6.23845955514348 -12.2692594655329 -13.9826516987795 -8.51739427586373 -13.8526568267066 -14.4072200077542 -13.2835953107788 -14.0005799651545 -11.2192156138814 -11.5118411835101 -7.10951522675272 -10.6279193275227 -13.3295845848489 -7.5908697111521 -15.2041856100098 -10.1522714862139 -6.96901498665887 -6.89347226051182 -17.5803072527111 -14.6223859973512 -8.18560566348967 -10.8216949836499 -14.5816462833601 -9.57162426491023 -6.56108293146958 -3.44348905027165 -13.2307284657526 -15.1959672659895 -9.06881791802481
"171" -12.1343429416742 -5.67923287859942 -12.4188858946931 -13.6206166549634 -8.66097599326647 -13.3699799266609 -14.2733557197583 -13.0758700695959 -14.1499558241805 -11.280185916799 -11.5511528353107 -7.14139059608094 -10.6372037768253 -13.3305121679836 -7.69459703455748 -14.72140870206 -10.0206831188998 -7.085815806117 -6.88311016233873 -17.7361965344319 -14.7415048546755 -8.27809952321752 -10.6238726907515 -14.7291843124718 -9.66168900839541 -6.68928966324136 -3.4945708305854 -12.9446462987096 -15.2071671167751 -9.07929575767705
"172" -12.1455871600708 -5.68637431413239 -12.018922504919 -13.6151000868608 -8.56085704093974 -13.3856554842591 -14.0638498689307 -13.0520047065614 -14.1028134590561 -11.2871120408765 -11.3012386654814 -6.92084737656227 -10.6523789007604 -13.2235356150935 -7.70924362881094 -14.7369527641777 -10.0252837711846 -6.66772864461522 -6.7270176240908 -17.7430429333212 -14.7545082696494 -8.21246617294964 -10.41922469336 -14.7357225818475 -9.59958102792544 -6.54883947064435 -3.49270637397046 -12.8606968871099 -15.1881266522736 -9.03293258926043
"173" -12.2631400415605 -5.65710078380406 -11.6222615747568 -13.1708676121601 -8.49201540944464 -13.2523167850162 -14.1225482560575 -13.257413471349 -14.3132082984184 -11.3489604534476 -11.2509342035739 -6.74147150008082 -10.8530184563491 -12.8474703874137 -7.75334836594683 -14.4851278010958 -9.9796930511628 -6.57528999967436 -6.81921798830296 -17.6476718473755 -14.9707263834043 -8.43424972499463 -10.4141111879677 -14.6312945837179 -9.10007968481152 -5.80178401766123 -3.65671576377178 -13.0306665116465 -15.0520079515721 -9.22057073350915
"174" -12.1127205947018 -5.71796956132364 -11.726483373846 -12.3015128521611 -8.60112081220998 -13.2910448198545 -13.9263043588913 -13.1926529592316 -14.341718623669 -11.3250024852819 -11.3309449760165 -6.77027112512367 -10.8590286277175 -12.9302749704388 -7.80372833101832 -14.2902509343936 -10.0650743053059 -6.54063663928577 -6.93025167161176 -17.7695036704911 -14.9630606277866 -8.48990699613663 -10.4735878740408 -14.5327248444731 -9.02522830393002 -5.91224550571703 -3.46885879963279 -12.9265695805505 -14.6731620214885 -9.28549480659937
"175" -12.1437883464346 -5.79282168226538 -11.5708501460088 -12.2984044655642 -7.90445746405903 -13.3666552285467 -13.9703345245254 -13.0212449806536 -14.1821057773816 -11.3442079538282 -11.1111045723575 -6.76434858019286 -10.7543267214711 -12.5194440738396 -7.83366138752346 -14.2363956895811 -10.0936359189113 -6.36721464270373 -6.83992273339287 -17.8528717436443 -15.0345744269535 -8.28613552108262 -10.5497308018072 -14.1814021258639 -9.05734669276632 -5.98035269751223 -3.28656489894648 -12.9827791123416 -14.7490117885603 -9.14306055136345
"176" -12.522594602637 -5.66179297588312 -11.3344925683272 -11.4723588105355 -7.99676417371855 -13.0726829898055 -14.0976572907508 -13.1498042762756 -14.2719393390421 -10.7710573199693 -11.2243908229668 -6.71609791093892 -11.1728106116422 -12.4827900869215 -7.9885092918583 -14.6326246286941 -9.14515958305122 -6.50499080476379 -6.95656392471153 -17.6805541536258 -14.6519405097464 -8.40275191596578 -11.0124261838035 -14.0801305723877 -9.03275967501531 -6.217871653736 -3.65874039916758 -13.3327673030593 -14.2338671536665 -9.57041189335841
"177" -12.4986737723993 -5.62448318879305 -11.3078999798048 -11.3047876406994 -7.98964118215912 -12.6867027202129 -14.0529010705832 -13.054912242857 -14.2649407615495 -10.6278159106117 -11.1498797343416 -6.72373403205315 -11.1362502741037 -12.4696761393245 -7.46519390989178 -14.6391171261778 -9.11984606509877 -6.50726252750002 -6.82002159422639 -17.6878885337715 -14.6462856001171 -8.39325050791389 -11.0203937014617 -14.088114720957 -9.01483558269172 -6.10029548038231 -3.62217774687128 -13.225815802872 -14.1986595474679 -9.33712423959814
"178" -12.4842472005134 -5.63831499870446 -11.3132745090158 -11.1789606961237 -8.02686830587827 -12.6441887642477 -14.0888321396651 -13.0440701787112 -14.282385892161 -10.6533985946323 -11.1887353312812 -6.73377959018988 -11.121207992246 -12.4740638460788 -7.49734682212277 -14.5720580116975 -9.15039555908692 -6.54243647811119 -6.6820999847496 -17.7004002856011 -14.6658882572752 -8.43109332885514 -11.0287568642394 -14.1029765439866 -8.90291516899273 -6.04369502049167 -3.53997046291226 -13.2653340490819 -14.035477107523 -9.32677031467468
"179" -12.7536470001564 -5.22591103531616 -11.1788132121626 -11.1107418072935 -8.3305076427221 -12.865427430836 -13.9848467834901 -13.4049758746482 -14.6185166398846 -10.8448940559382 -11.2445764227426 -7.01224223560668 -11.0971047247984 -12.4844092904127 -7.50940818768828 -14.826356778039 -9.20772424384997 -6.23371509542288 -6.73456906265173 -17.2567095543671 -15.0170391203127 -8.59934993683808 -11.3270419156838 -14.1331756497957 -8.08351858949898 -6.20146429954103 -3.71448048822165 -13.0741819423137 -14.3813583307648 -9.39135746237776
"180" -12.7523444906767 -5.19742065001785 -11.1664598923652 -11.0884452330059 -8.31303755121742 -12.8670218106812 -13.9532663421476 -13.307666672869 -14.6015344500913 -10.7538667527856 -11.2420521560743 -6.89048626766289 -11.0987515049449 -12.48626570858 -7.51020172901289 -14.6093636181106 -9.17558399584648 -6.1940875950502 -6.70856517851135 -17.2514787202394 -14.9799207151506 -8.56100746367123 -11.150378626276 -13.9598668645729 -8.0351568182695 -6.0709870864982 -3.68861584852718 -12.9063484618511 -14.3809686965479 -9.38240779022257
"181" -12.7251612763255 -5.19781184073469 -11.1682427976885 -11.0355119301419 -8.31666984433999 -12.858428212585 -13.9571611662164 -13.2916489292273 -14.6066778761843 -10.759176820403 -11.1978816783167 -6.78459242072336 -11.044459239016 -12.4915327769248 -7.51347251548808 -14.3256436411054 -9.17974115023339 -5.94600183452478 -6.62134430807118 -17.2559717398826 -14.9805946901493 -8.4564266316933 -11.1388927131029 -13.5914305900145 -8.01091222342016 -5.86740893770721 -3.5402108395854 -12.8871488600003 -14.3702515894139 -9.36897030465122
"182" -13.395643034432 -4.80413678063643 -10.9470766931943 -10.55388892592 -8.28935605257357 -12.705609884455 -13.832426249964 -13.4210359487179 -13.586483443194 -11.4024242632038 -10.6431454362848 -7.15926875754342 -11.3633038066491 -11.6542787616954 -6.76743085222253 -14.724552319267 -9.47328470472641 -6.42220914098968 -7.46835911153401 -16.9385348912782 -15.168573226879 -8.59265211289832 -11.3945855118086 -13.5017252858618 -8.47523303514208 -5.54225439541021 -3.57150030292765 -14.0403305426175 -14.1220641261263 -9.3548968247622
"183" -13.0275192518636 -4.80292807396701 -10.9017038176161 -10.5540352101962 -8.280083409515 -12.6963851631006 -13.7915113996523 -13.3668072805331 -13.5700477847634 -11.4030336396733 -10.6454879410023 -7.1652090043008 -11.3240049687015 -11.6398219761819 -6.52551893369822 -14.7258422763209 -9.46204182237518 -6.42047441556128 -7.42101364855241 -16.7522064643604 -15.1577590272541 -8.58904431975212 -11.3981496458946 -13.4964922764404 -8.47497928732908 -5.54807664177541 -3.57303855036586 -13.979963490957 -14.0572409330154 -9.32780015224786
"184" -13.0383755530087 -4.82476900207165 -10.926259193114 -10.5645415463444 -8.2349601439383 -12.7139287840893 -13.7140386243579 -12.6759137317852 -13.510798858764 -11.3990989145662 -10.6638590696561 -7.19076031231114 -11.0093382078438 -11.5887985900176 -6.35984236314939 -14.5628074326516 -9.30884428186496 -6.44596595342888 -7.06020377421361 -16.7747127460527 -15.1615803909409 -8.39071920501235 -11.1665496658344 -13.4131519522433 -8.49994657721618 -5.56715900790303 -3.58314634528352 -13.9655727515091 -14.0666318345706 -9.2548136665463
"185" -13.21484336793 -4.40353907149791 -10.9653125924425 -10.6241467108194 -7.93424969275873 -12.9139497311635 -13.7072260876625 -12.7696675841557 -13.0409989387626 -11.0125167886796 -10.9493098884452 -7.25951533267042 -11.1339816585003 -11.4706562834228 -6.30806391599716 -14.615269631338 -9.53151336245881 -6.70076963665855 -7.0320098432423 -16.7770659469584 -15.0634352829599 -8.4389036932605 -10.9497006162149 -13.0984283253384 -8.66418124391015 -5.40829698106895 -3.3901983127498 -13.9480870715108 -13.9581241383075 -9.01187732370023
"186" -13.3765686338245 -4.15138234537031 -10.5399819316847 -10.5369652028636 -7.30217227190897 -12.8824264186848 -14.4229363314045 -12.2051970493966 -13.145215520321 -10.6928986999545 -11.3529755656199 -7.45779629183574 -11.5303392810678 -11.8391328351346 -6.46305021019049 -14.9121899967703 -9.10921708525438 -6.72767781028361 -5.4832837842512 -16.6072258824427 -15.5209088410396 -8.58553587348483 -10.5364209245225 -13.5000206327347 -7.92765314819412 -5.91292278848583 -3.50835554585756 -14.2008834878659 -14.0001157984127 -9.12366227432686
"187" -13.4337697778281 -4.10223066397259 -10.5727362263414 -10.5889197064781 -7.35632605921606 -12.9331578336013 -14.3286043224016 -12.0852844446244 -13.1683001742081 -10.7420023832147 -11.3703791570705 -7.50328614798861 -11.56001395604 -11.5267818020648 -6.42710592456273 -14.9562559234358 -9.15697764179517 -6.51970454834343 -5.52274217739479 -16.6657832154653 -15.4591412016485 -8.63980384477381 -10.5058498601902 -13.019915990589 -7.97822014676755 -5.92474047721747 -3.52884813241392 -14.1020324148153 -13.8437497651206 -9.10245208542659
