"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
-0.255069167628722 -2.75470264729092 -0.430359077133696 -4.63868637374972 -0.422737414734753 -3.6708522115112 -0.190521861773944 1.24287435426256 -0.267242742059342 0.795169936398468 -0.361374917608754 -3.68871363427234
-0.265183417331284 -2.86989747820964 -0.463511607379024 -4.90534616264427 -0.445491080283748 -3.86148478645759 -0.192189681050805 1.21148439981289 -0.272069500450927 0.871972938002773 -0.367733067028353 -3.59807271695216
-0.243022862265547 -1.73223361512889 -0.448445697710388 -3.40631606678992 -0.424670425580485 -2.29744130101752 -0.18758766084141 1.4699219872507 -0.259785195806284 1.67164889763959 -0.360303131864423 -3.0226556563031
-0.226569856247884 -1.31861135993802 -0.419593651072865 -2.82292745863296 -0.387156024672392 -1.5171258500722 -0.177388440212577 1.54769502749283 -0.242248585593896 1.83552095655253 -0.332548465319388 -2.65985894439034
-0.232926842510538 -1.41580723957877 -0.431950319037606 -2.9097333450633 -0.39391722700714 -1.52214852326051 -0.167710627528288 1.89306449807803 -0.229409690738119 2.3138256193328 -0.322279554962003 -2.40300861681719
-0.233908381130072 -1.56588169688294 -0.430565510848826 -3.11254767431932 -0.402836796058842 -1.96336598450454 -0.166702970201243 1.83895040866639 -0.224993498628744 2.22527990423445 -0.328220773274082 -2.69364365709263
-0.236416581533397 -1.78115127362964 -0.430269947078657 -3.33419767734251 -0.404466621898784 -2.24052477376481 -0.173144583866645 1.48381077077251 -0.233245410681912 1.77291841533356 -0.329326730507029 -2.82284423848029
-0.21364647556882 -1.56896388730881 -0.386079510887545 -2.99886029378166 -0.35869443169402 -1.94605946253256 -0.148911100836501 1.64244884835993 -0.197392672418571 2.15595203744181 -0.30453041075399 -2.65235968598129
-0.21118737532816 -1.54692508418643 -0.381683755238755 -2.94527921315508 -0.356499672113347 -1.95358283314876 -0.143201323055897 1.67292297323732 -0.199802179117629 1.97021225430507 -0.307168456722844 -2.71501713837233
-0.217627712135896 -1.74333618064448 -0.394240329666224 -3.20296000375349 -0.376693517736048 -2.40801273219049 -0.162776093749383 0.946138001377683 -0.222247496133625 1.06167437913773 -0.338498931454156 -3.48493634692538
-0.220157124127969 -1.78719394007851 -0.397643097103915 -3.224709011797 -0.383660965899443 -2.49298742365941 -0.162970392665925 0.775271445720096 -0.222259703484714 0.914929338109339 -0.351867165935323 -3.76532522076504
-0.261914200938585 -3.01352842254827 -0.445617943769728 -4.50497291796772 -0.459199734401923 -4.39759876709229 -0.222553972909862 -1.27218616860232 -0.345364044594774 -2.5782555868087 -0.471269506501528 -6.3265050332378
-0.267242624346395 -3.16802361098318 -0.464560354605361 -4.90064443474649 -0.481923606844677 -4.88875708923245 -0.228562764325319 -1.56512968450802 -0.352383674069791 -2.9221310150721 -0.484331380875925 -6.64867825751568
-0.273798213587822 -3.33705319458605 -0.475292034846493 -5.11171724231659 -0.483786601920053 -4.93721904691365 -0.23254458460329 -1.6994630092848 -0.362598694645348 -3.14933071315315 -0.487233989806376 -6.65160980789078
-0.26622306425724 -3.17423188197313 -0.466183434747427 -4.97196717158699 -0.474447251006801 -4.84553109662173 -0.227464244746108 -1.60082854307453 -0.355058113245403 -3.07464911276151 -0.470314156613134 -6.40330266937171
-0.276236875253981 -3.42464957579775 -0.462768037052406 -4.94562248174774 -0.467215921881462 -4.7536896884078 -0.222707218912465 -1.52311359404997 -0.343392929333846 -2.81961714559693 -0.462368720362145 -6.21604730309839
-0.295698022169058 -3.63378075473955 -0.491284981047478 -5.19471650980575 -0.513238213033166 -5.15938457911906 -0.23859090805216 -1.69119590852568 -0.378638261987585 -3.14978486328005 -0.515169697473037 -6.6321024052885
-0.318686756693884 -4.34155212728808 -0.539940653146179 -6.34345252717716 -0.580873065237 -6.55656634760992 -0.243890800728356 -1.99939335348632 -0.387698884687607 -3.53168081659277 -0.551864023271577 -7.24550740584919
-0.283208353087383 -3.94788943287634 -0.482710144789607 -5.86734462932871 -0.507840907370662 -5.95183210194794 -0.200037428500113 -1.39516552497596 -0.310895266320497 -2.71548511746872 -0.469499649286951 -6.50025271194961
-0.342762948558563 -4.73476062417671 -0.556022474751687 -6.60718167807125 -0.562910579351644 -6.48633526887684 -0.214951209422721 -1.61967965177929 -0.32178162726809 -2.8444573207393 -0.506525486326056 -6.81966071634681
-0.346864666027056 -4.73708975839562 -0.572000590673373 -6.67230661543826 -0.583080442257854 -6.59940552181789 -0.223759855669295 -1.6472279287163 -0.3400652167175 -2.96337337978002 -0.529661551450645 -6.97458813380035
-0.353748393280964 -4.76312769333133 -0.58946153438257 -6.75519780951815 -0.587515369764382 -6.56056617892261 -0.225289485210906 -1.64199565613704 -0.340088630476163 -2.91953029095269 -0.542511518735983 -6.97095235196224
-0.35214090721267 -4.6095204622143 -0.586911961024552 -6.59528679429961 -0.585131416265513 -6.42671175610107 -0.219682743127472 -1.38597625609921 -0.333179666137879 -2.70812234033184 -0.545932833227877 -6.81356688488123
-0.358076187793078 -4.73181900144599 -0.584757717002973 -6.58161440762136 -0.578602533384694 -6.27881795008356 -0.239393342402362 -1.72375613505924 -0.336592943289078 -2.73201954890877 -0.557258910240716 -6.82650980436243
-0.355172431234072 -4.61976385259498 -0.584451005797377 -6.51275523148242 -0.585898835928265 -6.29154641123039 -0.262716544869133 -1.87697524001362 -0.334439927909876 -2.64373893142135 -0.568833122268492 -6.84896288091261
-0.330109072975603 -4.3687626802591 -0.547547679638893 -6.0996553629895 -0.542894790639032 -5.74169905685586 -0.26708284419807 -2.43631180529011 -0.410473230229513 -4.19376642440233 -0.524466374785625 -6.23978223835498
