"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
-0.0551858640872054 -1.26068608475382 -0.116520565399433 -3.11688340440761 -0.10111991965624 -2.80591835964104 -0.0438252442980718 -0.675309091287542 -0.0785537160993437 -1.39400043518571 -0.00772521245705948 1.07301855268679
-0.0552545549554544 -1.25188144770223 -0.116560045777606 -3.08562163027199 -0.101130317768452 -2.77561529436139 -0.0436250383636461 -0.655972010974511 -0.0792142137869174 -1.38780401330212 -0.00803864043239777 1.06166493433715
-0.0553888549040722 -1.24354193664683 -0.116117615915662 -3.04370611010675 -0.100202152847418 -2.72535355696857 -0.0441432647810895 -0.678876933962929 -0.0765884892115223 -1.28451345972109 -0.00807951612354652 1.03777955561559
-0.0549728448033331 -1.21714504420416 -0.11486037386788 -2.96102573317858 -0.0997159621328647 -2.66936230968193 -0.0453032804572551 -0.709950663945632 -0.0737052101034854 -1.11344645004489 -0.00547168421465849 1.17531664700424
-0.0545359687880087 -1.19918574020063 -0.114587859505022 -2.91901488662691 -0.100060361922875 -2.65895807556226 -0.0434146862578504 -0.614134235374989 -0.0715899767160426 -1.01400480378662 -0.003182370605741 1.26545472679701
-0.0544345788936751 -1.18007448923298 -0.114423213394365 -2.88685553394013 -0.0996118530060113 -2.61116304910753 -0.0435104075454731 -0.609896775340988 -0.0784377643461194 -1.32442750273276 -0.00313765189349824 1.27099182852488
-0.0545470954024367 -1.17040260294701 -0.114136451842167 -2.84339612821073 -0.0997344019828104 -2.5872967396393 -0.0434850955522068 -0.607118100211749 -0.0781297059550647 -1.30121914851952 -0.000867010201869522 1.34466296737501
-0.0557211651568037 -1.20196114640299 -0.114731947108264 -2.82372133709888 -0.100125081475176 -2.56592336468475 -0.0426472567206568 -0.563728200879282 -0.0768507336465092 -1.19431886039197 -0.00530670229716512 1.11746664365071
-0.0570577344078811 -1.25607739018741 -0.116008804664607 -2.8621443353498 -0.100410301311284 -2.55123150166221 -0.0422094211830861 -0.540916838546076 -0.0755583763616892 -1.11572022905565 0.00011524852491962 1.35896965287868
-0.0530056668863472 -1.0673744996122 -0.119466553081822 -2.9115190777714 -0.111615938553658 -2.91809633562366 -0.0461932487064445 -0.706046199809817 -0.0589946972469493 -0.558185368771792 0.0032393524097607 1.50172466591289
-0.054037845841117 -1.09956619517972 -0.120028603967164 -2.88198009467986 -0.111690320892209 -2.88240872393232 -0.0460907482433346 -0.68869277713758 -0.0576930859140081 -0.490267831947658 0.00415028544401641 1.5297380928025
