-0.057158,NaN,1.1104,0.69315,NaN,NaN,0.84202,1.5385,2.1441,2.9833,NaN,0.63727,NaN,0.37292,1.3635,1.5252,1.2811,1.3996,1.9024,2.7186,-0.93305,0.96253,0.38344,0.63046,0.61529,0.67897,0.98842,1.2298,1.4172,2.6005,-0.71828,-0.31881,-0.027142,0.10126,0.48916,0.4864,0.96783,1.3196,1.9335,1.8741,NaN,-0.46115,0.13359,0.60434,0.44911,0.51733,0.88116,0.8888,1.6279,2.184,-0.81988,-0.199,0.027171,0.23744,0.65168,0.48384,0.72527,1.0233,1.7476,2.9248,-0.53039,-0.57915,-0.15123,0.064568,0.11041,0.72805,1.3034,1.2144,1.0508,NaN,-0.89753,-0.36231,0.011034,0.25428,0.3184,0.59938,0.65402,1.2966,1.5892,NaN,-0.90617,-0.5048,-0.062885,0.32495,0.22887,0.57917,1.0189,1.4155,NaN,NaN,-1.1371,-0.54042,-0.27839,0.077005,0.16521,0.59423,0.87952,0.91197,NaN,NaN
-0.084557,NaN,1.1104,1.204,NaN,NaN,0.84202,1.6519,2.415,3.3262,NaN,0.92979,NaN,0.40848,1.6431,2.1324,1.4005,1.6142,2.06,2.8648,-0.9275,1.3051,0.49133,0.7841,0.88625,0.85299,1.2095,1.3834,1.5527,2.8577,-0.48802,-0.20189,0.09582,0.20542,0.66437,0.55381,1.1086,1.6042,2.1619,1.9034,NaN,-0.34867,0.28754,0.79517,0.56309,0.6176,1.0213,1.0428,2.0212,2.2284,-0.66235,-0.011493,0.14232,0.37046,0.74179,0.56116,0.92084,1.0985,1.8913,3.1657,-0.41585,-0.52821,-0.057473,0.15382,0.15989,0.96263,1.4712,1.3633,1.284,NaN,-0.8301,-0.25935,0.11092,0.36244,0.45106,0.80201,0.77675,1.3535,1.6976,NaN,-0.81213,-0.41483,0.054247,0.4037,0.34905,0.73681,1.203,1.6941,NaN,NaN,-1.0739,-0.48852,-0.19265,0.18258,0.23227,0.71077,0.94351,0.99566,NaN,NaN
-0.057158,NaN,0.8873,0.91629,NaN,NaN,0.71377,1.5267,2.1786,3.154,NaN,1.247,NaN,0.326,1.4607,1.98,1.2485,1.4491,1.875,2.7186,-0.98959,1.1838,0.48817,0.63357,0.73942,0.74721,1.0436,1.2522,1.4172,2.6101,-0.58779,-0.2657,-0.072384,0.11758,0.61862,0.44576,1.0595,1.3786,2.0606,1.7884,NaN,-0.4729,0.20891,0.64322,0.41488,0.60566,0.95866,1.0123,1.6885,2.162,-0.7257,-0.16397,0.035815,0.27634,0.65595,0.46023,0.88783,1.0341,1.7061,2.7917,-0.49675,-0.60186,-0.081513,0.089059,0.15944,0.90669,1.4059,1.2457,1.2104,NaN,-0.88511,-0.33038,0.014411,0.30178,0.40485,0.73099,0.72095,1.3431,1.5996,NaN,-0.87565,-0.45787,-0.00037695,0.38595,0.28272,0.57621,1.0399,1.4969,NaN,NaN,-1.1003,-0.54086,-0.23235,0.10858,0.17512,0.6401,0.79152,0.84903,NaN,NaN
-0.21131,NaN,0.34831,0.91629,NaN,NaN,0.53609,1.242,1.865,2.9768,NaN,1.0427,NaN,0.21193,1.0029,1.7711,1.0356,1.2231,1.6043,2.5771,-1,1.0094,0.41519,0.43177,0.55124,0.58618,0.92053,1.1804,1.2804,2.5537,-0.56738,-0.39354,-0.2353,0.071143,0.48738,0.38505,0.93171,1.2228,1.8683,1.6006,NaN,-0.58547,0.082903,0.47718,0.35866,0.51733,0.87143,0.94434,1.5181,1.9878,-0.80355,-0.45309,-0.10871,0.14797,0.51474,0.37406,0.82256,0.85576,1.698,2.8555,-0.68143,-0.68658,-0.20346,0.0029395,-0.010167,0.79874,1.3253,1.1709,1.0187,NaN,-0.99127,-0.42382,-0.06842,0.17523,0.35324,0.7056,0.90183,1.1779,1.4092,NaN,-1.0069,-0.58554,-0.14196,0.20747,0.20125,0.56893,1.0006,1.2186,NaN,NaN,-1.235,-0.66388,-0.30378,0.050972,0.14351,0.47675,0.79517,0.76832,NaN,NaN
-0.084557,NaN,0.29952,1.0033,NaN,NaN,0.3083,1.2689,1.8396,3.016,NaN,1.1337,NaN,0.19351,1.169,1.7711,1.2046,1.2584,1.7935,2.7027,-1.2568,0.861,0.49133,0.58212,0.58464,0.64819,0.90141,1.2685,1.2833,2.5506,-0.50133,-0.40626,-0.070803,0.10306,0.5499,0.26296,0.96433,1.3251,1.7138,1.5735,NaN,-0.5601,0.17557,0.66399,0.39923,0.61227,0.9547,1.01,1.7131,2.1827,-0.76067,-0.46485,-0.033546,0.25854,0.60419,0.37344,0.85749,0.87784,1.8342,3.0797,-0.56294,-0.63031,-0.14144,0.049035,0.039514,0.85249,1.4393,1.3401,0.94516,NaN,-0.92939,-0.37936,-0.010309,0.26796,0.44531,0.84214,1.0421,1.2894,1.5735,NaN,-0.9421,-0.51512,-0.044754,0.29166,0.30906,0.68553,1.2193,1.4295,NaN,NaN,-1.1846,-0.63023,-0.21646,0.18121,0.23615,0.61543,0.8676,0.83887,NaN,NaN
0.39087,NaN,NaN,1.0986,NaN,NaN,0.45426,1.4367,2.0473,3.2392,NaN,1.2605,NaN,0.3599,1.3832,2.1324,1.4231,1.4711,1.9526,2.8556,-1.0356,1.1192,0.67873,0.92748,0.7662,0.81647,1.0051,1.421,1.4408,2.7191,-0.32077,-0.25657,0.071811,0.30173,0.71008,0.39582,1.127,1.5586,2.0112,1.8318,NaN,-0.43843,0.31761,0.87707,0.54377,0.74713,1.1423,1.1748,1.9973,2.3841,-0.58758,-0.35309,0.13445,0.46437,0.71781,0.52069,1.065,1.0851,2.0151,3.2133,-0.4889,-0.49206,-0.0014307,0.1559,0.21005,1.041,1.7177,1.5129,0.91496,NaN,-0.76898,-0.24111,0.082277,0.392,0.6172,1.0167,1.1372,1.3586,1.6858,NaN,-0.83153,-0.36187,0.044819,0.50077,0.46887,0.76675,1.3471,1.6682,NaN,NaN,-1.0709,-0.55576,-0.13351,0.24399,0.35316,0.81938,0.95859,0.93984,NaN,NaN
0.48184,NaN,NaN,1.0033,NaN,NaN,0.54387,1.5267,2.3127,3.4316,NaN,1.3598,NaN,0.39499,1.819,2.2443,1.5621,1.5889,2.1502,2.9722,-0.93858,1.2528,0.83543,1.0328,0.91209,0.91258,1.0436,1.5091,1.5603,2.8054,-0.30748,-0.13993,0.1575,0.32846,0.9009,0.38238,1.2678,1.7381,2.1781,1.929,NaN,-0.32592,0.44452,0.98263,0.64304,0.79221,1.3058,1.245,2.2395,2.5668,-0.40178,-0.07624,0.36239,0.60373,0.84085,0.63618,1.2842,1.2865,2.1367,3.3943,-0.38463,-0.36406,0.117,0.2645,0.41983,1.2743,1.8967,1.6913,1.2821,NaN,-0.60907,-0.17004,0.19507,0.5801,0.76174,1.1953,1.3741,1.663,2.1127,NaN,-0.68365,-0.25257,0.20882,0.66931,0.68482,1.0109,1.5654,1.9092,NaN,NaN,-0.95811,-0.40825,-0.029948,0.43409,0.56075,0.9848,1.1753,1.1595,NaN,NaN
0.060625,NaN,NaN,NaN,NaN,NaN,1.2688,1.5936,2.6576,3.0205,NaN,1.5942,NaN,-0.1466,1.3043,0.0027933,1.806,1.1258,2.1642,2.4667,NaN,-0.46122,1.2265,0.65872,0.36149,1.1126,0.13304,1.2475,1.3096,2.7783,0.26018,0.14204,0.18777,0.68869,1.0656,0.55087,1.6896,1.3555,1.3044,1.5587,NaN,0.48028,0.48561,-0.20114,0.17402,0.65155,1.2615,1.4465,1.2498,2.2506,-0.32591,-0.68009,0.60836,0.14863,0.86145,1.2243,0.065767,1.1453,1.7373,NaN,-0.24197,-0.96379,0.13807,0.66077,-0.14218,0.71513,1.2092,1.5384,1.5971,NaN,-0.72996,-0.8579,0.12908,0.75841,1.1554,0.64849,0.4502,1.8823,0.97995,NaN,-0.5132,-0.52147,-0.58816,0.060537,0.36423,0.7735,2.4125,0.71368,NaN,NaN,-1.5331,-0.66307,0.59833,-0.23413,1.4623,-0.30876,-0.66894,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,1.5442,1.0131,1.6629,1.8231,3.226,NaN,-0.060018,0.89859,0.91573,1.0995,1.0877,0.96673,1.3424,1.7565,2.7288,NaN,0.1563,0.16459,0.39054,0.59944,1.0002,1.2264,1.2936,1.7122,2.5245,-0.82918,-0.27306,0.070277,0.42183,0.79393,1.0149,1.2707,1.4374,1.9569,2.5153,-0.58369,-0.14679,0.22613,0.34009,0.76657,0.9862,1.3071,1.1963,1.9124,2.7093,-0.79647,-0.28166,0.17044,0.20496,0.68292,0.90908,1.2505,1.5761,1.9853,NaN,-0.77783,-0.21039,0.13862,0.38918,0.48723,1.0704,1.0704,1.2848,2.0892,NaN,-0.7887,-0.13634,-0.052753,0.39356,0.63008,0.94324,1.1444,1.177,1.8599,NaN,-0.78082,-0.33264,0.071529,0.5812,0.55707,0.88226,1.1541,1.7242,1.6117,NaN,-0.92378,-0.28338,0.17658,0.48529,0.62702,0.8799,0.89413,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,1.6554,1.0635,1.7007,1.9222,3.3286,NaN,0.15587,1.3041,0.89482,1.1865,1.0963,1.0415,1.3501,1.7488,2.8297,NaN,0.029366,-0.0054054,0.41301,0.69358,1.0538,1.2264,1.3182,1.7751,2.6299,-0.91743,-0.27306,0.10071,0.42183,0.80549,0.98986,1.2967,1.445,1.9753,2.6201,-0.58369,-0.11948,0.29107,0.36649,0.75085,1.015,1.2163,1.2793,1.9522,2.7157,-0.7791,-0.31287,0.21353,0.18691,0.69476,0.906,1.2828,1.6572,2.0819,NaN,-0.74694,-0.19368,0.16579,0.3798,0.44835,1.1129,1.1037,1.2891,2.288,NaN,-0.78744,-0.12339,-0.0019375,0.42348,0.62196,0.94232,1.0584,1.0915,1.7888,NaN,-0.7732,-0.34237,0.06376,0.56034,0.572,0.91105,1.2172,1.7855,1.5307,NaN,-0.86197,-0.30551,0.12525,0.5328,0.63697,0.88299,0.92935,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,1.7806,1.4351,2.1554,2.2968,3.6402,NaN,0.74607,1.7228,1.2564,1.5634,1.4679,1.413,1.8405,2.1277,3.2944,NaN,0.29306,0.47272,0.99853,0.96283,1.4807,1.4643,1.7991,2.1871,3.0482,-0.58779,0.023367,0.36153,0.90304,1.397,1.2866,1.733,1.8594,2.4119,3.0745,-0.16443,0.20052,0.67364,0.64419,1.1098,1.4409,1.621,1.4989,2.3725,3.1583,-0.55478,0.045434,0.70485,0.6238,1.1182,1.3181,1.7191,2.0191,2.6271,NaN,-0.28636,0.13585,0.42143,0.71964,0.78992,1.4918,1.432,1.772,2.5732,NaN,-0.44731,0.21638,0.28037,0.74324,1.1236,1.3334,1.5965,1.5319,2.3368,NaN,-0.4253,0.014147,0.46035,1.036,0.973,1.3861,1.6447,2.1031,2.1385,NaN,-0.51193,0.011192,0.43661,0.74992,0.93227,1.3009,1.3452,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,2.0907,1.4351,2.1255,2.238,3.6402,NaN,0.79052,1.2281,1.3283,1.4936,1.4191,1.3524,1.6991,2.0625,3.175,NaN,0.29306,0.38534,0.92006,1.0509,1.4363,1.4874,1.7216,2.1176,2.9034,-0.7433,-0.014255,0.35582,0.79725,1.3928,1.2223,1.4849,1.8292,2.3252,3.3369,-0.20525,0.19208,0.57344,0.6464,0.91429,1.4212,1.5197,1.6085,2.3099,3.0692,-0.42874,0.0048135,0.67868,0.4993,0.9448,1.2862,1.6367,1.8673,2.5143,NaN,-0.47003,0.13429,0.37753,0.64229,0.6926,1.3832,1.3672,1.6151,2.4918,NaN,-0.51279,0.12089,0.21672,0.67123,0.99879,1.2137,1.4819,1.3182,2.2077,NaN,-0.5082,-0.064597,0.37092,0.90762,0.93973,1.4594,1.3082,2.1615,1.9528,NaN,-0.59737,-0.064174,0.3158,0.7588,0.96916,1.2631,1.3347,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,1.4104,2.2507,2.4261,3.7535,NaN,0.99119,2.3767,1.5277,1.6002,1.5192,1.5184,1.8032,2.2096,3.1876,NaN,0.4823,0.47272,0.99853,1.1273,1.4807,1.5921,1.7216,2.2069,2.9976,-0.75947,0.092816,0.42665,0.97418,1.4621,1.2833,1.6067,1.8709,2.5819,3.3412,-0.19856,0.2416,0.68069,0.67331,1.0196,1.466,1.5711,1.7545,2.3838,3.2423,-0.47255,0.15696,0.7415,0.59736,0.97716,1.3836,1.7514,2.0274,2.7279,NaN,-0.38035,0.24809,0.41383,0.67019,0.78398,1.5374,1.5306,1.7416,2.8667,NaN,-0.47135,0.23928,0.25206,0.72646,1.4295,1.2141,1.6474,1.4002,2.3559,NaN,-0.41818,0.0010194,0.43564,1.0715,1.1178,1.6682,1.4906,2.4531,2.023,NaN,-0.52559,0.012153,0.39334,0.95259,1.262,1.4666,1.593,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,1.6275,2.6562,2.6579,4.0279,NaN,1.3166,2.3767,1.5675,2.0904,1.7556,1.752,2.0828,2.4116,3.5681,NaN,0.60989,0.47272,1.3446,1.3324,1.6273,1.825,1.9432,2.4384,3.273,-0.64934,0.34904,0.5747,1.036,1.7102,1.4331,1.8407,2.1716,2.8112,3.7845,-0.0040844,0.34623,0.95898,0.90215,1.2366,1.6227,1.729,1.9952,2.5504,3.4318,-0.16022,0.30504,0.99759,0.74831,1.1092,1.6125,1.8791,2.263,3.0062,NaN,-0.2382,0.33756,0.66143,0.82753,0.9237,1.7414,1.6776,1.8699,3.2105,NaN,-0.31106,0.33651,0.39804,0.85365,1.6126,1.2541,2.0132,1.5666,2.668,NaN,-0.27361,0.14562,0.57807,1.3167,1.3455,1.9583,1.8678,2.7312,2.3929,NaN,-0.41723,0.15236,0.55782,1.1592,1.4905,1.7995,1.8537,NaN,NaN,NaN
