
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198906 -17.11 -17.41 -13.40 -12.84 -16.09 -10.59 -17.31 -11.89 -16.98 -12.90
198907  13.58  14.83   9.09  11.71  12.97   9.59  13.13  11.47  14.56   3.01
198908  -2.36  -2.14  -2.88   0.09  -3.80  -1.69  -3.61   0.35  -3.13 -14.38
198909  10.44  12.49   8.07   8.79   9.95   7.99   9.64   7.46  11.35   7.28
198910  -1.09   0.92  -2.40   2.50  -1.68  -0.16  -2.77   1.64  -1.35 -11.41
198911   1.07   0.59   2.00   2.72   0.26   4.45  -0.30   1.51   1.15   1.53
198912   3.15   0.52   6.18   3.96   4.62   1.97   3.94   3.12   2.86   0.09
199001  -2.56  -8.15  -1.71  -1.66  -4.65  -2.41  -5.16  -0.71  -1.95 -99.99
199002   7.67   8.59   6.56   8.48   8.43   4.91   9.37   6.03   9.12 -99.99
199003   2.36   4.23   0.83  10.40   2.28   2.50   2.63   8.57   3.74 -99.99
199004  -0.77  -0.20  -0.61  -2.13  -0.23   1.92   0.20  -2.84   0.54 -99.99
199005   6.60   6.08   5.73   4.36   8.29   4.14   8.94   5.01  10.66 -99.99
199006   5.11   5.07   5.71   8.77   4.25   6.49   4.48   8.00  -0.05 -99.99
199007   5.91   8.39   5.26   6.49   6.90   6.53   6.32   6.48   5.01 -99.99
199008 -10.34 -12.47  -9.54 -11.58  -9.06 -16.25  -8.99  -9.54 -10.74 -99.99
199009 -10.31  -8.07 -10.80 -10.54 -10.00 -11.49 -10.32  -7.52 -12.26 -99.99
199010   8.38   6.23   8.31  10.35   8.41   2.42   8.37   9.86  11.53 -99.99
199011  -0.94  -2.75  -0.68  -3.80  -0.85  -3.39  -1.53   2.11  -2.04 -99.99
199012   2.35  -0.49   5.37   0.14   3.12   1.90   3.09   0.82   1.41 -99.99
199101   7.58   4.50   6.66   5.24   7.05   5.57   8.36   6.05   5.85   0.98
199102   9.99  13.19   9.61  19.31   7.80  19.85   6.70  15.53   7.68   1.91
199103   5.25   5.28   2.82   1.78   4.80  -1.89   6.69   2.86  10.92  -1.85
